Route,Name,Grade,FA,Country,Area,Date
4-Low,Daniel Woods,15,FA,Switzerland,Valle Bavona,03/15/2020
Airian,Iban Larrion,15,FA,Spain,Baltzola,03/15/2012
Airian,Alberto Rocasolano,15,,Spain,Baltzola,06/06/2016
Alchimiste (right),Alban Levier,15,,France,Fontainebleau,01/28/2016
Alchimiste (right),Nalle Hukkataival,15,FA,France,Fontainebleau,03/16/2015
Amazonia,Francis Helias,15,FA,France,Fontainebleau,6/30/2002
Ambition,James Squire,15,FA,United Kingdom,Biblins Cave,06/16/2020
"Anarchiste, L'",Philip Moser,15,FA,France,St Anne,3/23/2003
Angama,Dai Koyamada,15,FA,France,Fontainebleau,10/24/2006
Angama,Paul Robinson,15,,France,Fontainebleau,03/23/2011
angeschossenes wolf,Philipp Gaßner,15,,Germany,Kochel,2/6/2021
angeschossenes wolf,Toni Lamprecht,15,FA,Germany,Kochel,03/03/2020
Arobayo,Dai Koyamada,15,FA,Japan,Yakushima,01/01/2018
Arzak,Eliot Stephens,15,,Switzerland,Zürich,11/24/2019
Arzak,Frederic Nicole,15,FA,Switzerland,Zürich,01/01/2016
Arzak,Guntram Jorg,15,,Switzerland,Zürich,03/01/2019
Arzak,Toby Saxton,15,,Switzerland,Zürich,1/30/2018
Asagimadara,Adam Ondra,15,,Japan,Mizugaki,03/16/2016
Asagimadara,Jongwon Chon,15,,Japan,Mizugaki,03/16/2016
Asagimadara,Keenan Takahashi,15,,Japan,Mizugaki,11/06/2019
Asagimadara,Naoki Shimatani,15,,Japan,Mizugaki,10/30/2020
Asagimadara,Rei kawamata,15,,Japan,Mizugaki,3/22/2020
Asagimadara,Ryuichi Murai,15,,Japan,Mizugaki,10/15/2016
Asagimadara,Sachi Amma,15,,Japan,Mizugaki,03/16/2016
Asagimadara,Tokio Muroi,15,FA,Japan,Mizugaki,01/01/2011
Asagimadara,Tomoa Narasaki,15,,Japan,Mizugaki,10/21/2021
Asagimadara,Toru Nakajima,15,,Japan,Mizugaki,03/23/2013
Asagimadara,Toshi Takeuchi,15,,Japan,Mizugaki,10/18/2015
assassin monkey and man,Toni Lamprecht,15,FA,Germany,Kochel,04/09/2008
Babel,Akira Waku,15,,Japan,Shiobara,03/02/2018
Babel,Dai Koyamada,15,FA,Japan,Shiobara,01/31/2007
Babel,Jun Shibanuma,15,,Japan,Shiobara,05/07/2018
Babel,Motochika Nagao,15,,Japan,Shiobara,11/30/2-13
Babel,Naoki Shimatani,15,,Japan,Shiobara,05/25/2021
Babel,Ryuichi Murai,15,,Japan,Shiobara,03/17/2016
Babel,Sachi Amma,15,,Japan,Shiobara,05/14/2014
Babel,Shinichiro Nomura,15,,Japan,Shiobara,05/24/2018
Babylon,Shinichiro Nomura,15,,Japan,Toyota,12/03/2017
Babylon,Toshi Takeuchi,15,FA,Japan,Toyota,11/28/2016
Banshousha,Tokio Muroi,15,FA,Japan,Ogawayama,12/09/2001
Believe in two,Chris Webb Parsons,15,FA,Switzerland,Magic Wood,10/16/2010
Belly Of Beast,Chris Webb Parsons,15,FA,United Kingdom,Peak District,11/08/2013
Big Illusion,Stefan Scarperi,15,FA,Italy,Val daone,10/22/2020
Big Island,Arjan de Kock,15,,France,Fontainebleau,04/13/2012
Big Island,Coudert Camille,15,,France,Fontainebleau,02/10/2020
Big Island,Giuliano Cameroni,15,,France,Fontainebleau,02/23/2018
Big Island,Guillaume Glairon-Mondet,15,,France,Fontainebleau,1/16/2013
Big Island,James Webb,15,,France,Fontainebleau,2/6/2016
Big Island,Jan hojer,15,,France,Fontainebleau,01/25/2013
Big Island,killian chabrier,15,,France,Fontainebleau,2/14/2021
Big Island,Lucas Menegatti,15,,France,Fontainebleau,01/28/2011
Big Island,Max Deelen,15,,France,Fontainebleau,01/16/2020
Big Island,Maxime Baroud,15,,France,Fontainebleau,01/22/2020
Big Island,Michiel Nieuwenhuijsen,15,,France,Fontainebleau,12/21/2015
Big Island,Nathan MICHEL,15,,France,Fontainebleau,11/29/2020
Big Island,Niccolo Ceria,15,,France,Fontainebleau,03/11/2015
Big Island,Ryohei Kameyama,15,,France,Fontainebleau,11/20/2017
Big Island,Taylor McNeill,15,,France,Fontainebleau,10/23/2017
Big Island,Tim Reuser,15,,France,Fontainebleau,03/09/2021
Big Island,Anthony Gullsten,15,,France,Fontainebleau,03/21/2018
Big Island,Chris Schulte,15,,France,Fontainebleau,02/01/2013
Big Island,Edward Freehally,15,,France,Fontainebleau,11/28/2015
Big Island,Griffin Whiteside,15,,France,Fontainebleau,02/10/2015
Big Island,Jonas Winter,15,,France,Fontainebleau,02/25/2016
Big Island,Nico Pelorson,15,,France,Fontainebleau,12/11/2018
Big Island,Toru Nakajima,15,,France,Fontainebleau,02/25/2013
Big Island,Vincent Ponchon,15,FA,France,Fontainebleau,02/02/2010
"Big Island, sit",Nico Pelorson,16.5,,France,Fontainebleau,04/07/2021
"Big Island, sit",Simon Lorenzi,16.5,FA,France,Fontainebleau,02/09/2021
Big Paw,Adam Ondra,15,,Switzerland,Ticino,11/29/2010
Big Paw,Dave Graham,15,FA,Switzerland,Ticino,11/27/2008
Big Paw,David Fitzgerald,15,,Switzerland,Ticino,04/05/2018
Big Paw,G Gu,15,,Switzerland,Ticino,11/24/2011
Black EagAssis,Daniel Woods,15,,South Africa,Rocklands,08/17/2018
Black EagAssis,Giuliano Cameroni,15,,South Africa,Rocklands,08/18/2018
Black EagAssis,Vadim Timonov,15,,South Africa,Rocklands,07/06/2019
Black EagAssis,Dave Graham,15,,South Africa,Rocklands,08/27/2018
Black EagAssis,Frederic Nicole,15,FA,South Africa,Rocklands,8/18/2002
Black Panther,Martin Stranik,15,FA,Czech Republic,Vesec,04/21/2021
Blade Runner,Daniel Woods,15,,United States,RMNP,09/21/2020
Blade Runner,Matt Fultz,15,,United States,RMNP,07/20/2020
Blade Runner,Ben Burkhalter,15,,United States,RMNP,07/25/2019
Blade Runner,Giuliano Cameroni,15,FA,United States,RMNP,06/15/2019
Blood Redemption,Magnus Midtbo,15,FA,Norway,Matre,09/29/2010
"Boa, Le",Frederic Nicole,15,FA,Switzerland,,09/21/2011
Bokassa's Fridge,Toni Lamprecht,15,FA,Germany,Kochel,03/01/2006
Bokassa's Fridge sit,Florian Wientjes,15.5,FA,Germany,Kochel,3/8/2021
Bokassa's Frigde - Assassin Monkey and Man,Christof Rauch,15,,Germany,Kochel,02/01/2019
Bokassa's Frigde - Assassin Monkey and Man,Thomas Lindinger,15,,Germany,Kochel,11/11/2019
Bokassa's Frigde - Assassin Monkey and Man,Toni Lamprecht,15,FA,Germany,Kochel,03/07/2009
Bongo,Dai Koyamada,15,FA,Germany,Frankenjura,10/28/2007
Boulder Blaster,Pol Roca Lopez,15,FA,Spain,Comarca,12/10/2018
Box Therapy,Daniel Woods,16,FA,United States,RMNP,10/29/2018
Box Therapy,Drew Ruana,16,,United States,RMNP,07/22/2020
Box Therapy,Sean Bailey,16,,United States,RMNP,10/19/2020
Bridge of Ashes,Dave Graham,15,FA,United States,RMNP,03/08/2013
Bridge of Ashes,Matt Fultz,15,,United States,RMNP,5/7/2019
Brutal Rider,Adam Ondra,16,,Czech Republic,Sloup,05/25/2020
Bugeleisen Sit,Jako Schubert,15,,Austria,Villach,04/01/2015
Bugeleisen Sit,Nalle Hukkataival,15,FA,Austria,Villach,04/01/2014
Bugeleisen Sit,Rok Klancnik,15,,Austria,Villach,04/07/2014
Bugeleisen Sit,Nicolai Užnik,15,,Austria,Villach,12/04/2020
Bugeleisen Sit,Stefan Scarperi,15,,Austria,Villach,03/07/2020
Burden of Dreams,Nalle Hukkataival,17,FA,Finland,Lappnor,10/24/2016
Byaku-dou,Dai Koyamada,15,FA,Japan,Hourai,11/11/2003
Byaku-dou,Kazuma Ise,15,,Japan,Hourai,02/08/2020
Byaku-dou,Motochika Nagao,15,,Japan,Hourai,02/18/2015
Byaku-dou,Ryuichi Murai,15,,Japan,Hourai,4/7/2019
Byaku-dou,Shinichiro Nomura,15,,Japan,Hourai,3/20/2020
Callistea,Sorin Oli,15,,Spain,Archidona,08/30/2019
Carinthian Dreams,Christof Rauch,15,FA,Austria,Kärnten,05/25/2017
Catalan Witness the Fitness,Felipe Camargo,15,,Spain,Cova de l'Ocell,02/24/2016
