Route,Name,Grade,FA,Country,Area,Date,Suggested Grade,Link,
"Automator, The",Angela Payne,13,,United States,RMNP,01/01/2010,,,
Riverbed,Anna Stohr,13,,Switzerland,Magic Wood,01/01/2010,,,
Fragile Steps,Dorothea Karalus,13,,South Africa,Rocklands,01/01/2010,,,
Fragile Steps,Ashima Shiraishi,13,,South Africa,Rocklands,01/01/2012,,,
Steady Plums direct,Ashima Shiraishi,13,,,Topside,01/01/2012,,,
"Vice, The",Anna Stohr,13,,South Africa,Rocklands,01/01/2013,,,
"Power of One, The",Anna Stohr,13,,South Africa,Rocklands,01/01/2013,,,
"Automator, The",Ashima Shiraishi,13,,United States,RMNP,01/01/2013,,,
One summer in paradise,Ashima Shiraishi,13,,Switzerland,Magic Wood,01/01/2013,,,
Ubuntu,Karoline Sinnhuber,13,,South Africa,Rocklands,01/01/2013,,,
Fragile Steps,Angela Eiter,13,,South Africa,Rocklands,01/01/2014,,,
Freaks of the Industry,Angela Payne,13,,United States,RMNP,01/01/2014,,,
Fragile Steps,Brooke Raboutou,13,,South Africa,Rocklands,01/01/2014,,,
Zarzaparilla,Shauna Coxsey,13,,,Albarracin,01/01/2014,,,
Boogalagga,Anna Stohr,13,,Switzerland,Ticino,01/01/2015,,,
Evil Backwards,Angela Payne,13,,United States,Boulder/CO,01/01/2016,,,
Wrestling with an alligator,Anna Stohr,13,,Austria,Villach,01/01/2016,,,
Mana,Ashima Shiraishi,13,,Australia,Grampians,01/01/2016,,,
La Cicatrice de L'Ohm,Melissa Le Neve,13,,France,Fontainebleau,01/01/2016,,,
Fragile Steps,Momoka Oda,13,,South Africa,Rocklands,01/01/2016,,,
Ropes of Maui,Shauna Coxsey,13,,United Kingdom,North Wales,01/01/2016,,,
Fragile Steps,Ann Raber,13,,South Africa,Rocklands,01/01/2017,,,
Meadowlark Lemon Stand,Anna Stohr,13,,United States,Red Rock,01/01/2017,,,
Steppenwolf,Anna Stohr,13,,Switzerland,Magic Wood,01/01/2017,,,
La Cicatrice de L'Ohm,Caroline Sinno,13,,France,Fontainebleau,01/01/2017,,,
Fragile Steps,Marine Thevenet,13,,South Africa,Redhill,01/01/2017,,,
Crown of Aragorn,Michaela Kiersch,13,,United States,Hueco Tanks,01/01/2017,,,
Fragile Steps,Alizee Dufraisse,13,,South Africa,Rocklands,01/01/2018,12,,
Fragile Steps,Anna Liina Laitinen,13,,South Africa,Rocklands,07/23/2018,12/13,https://www.instagram.com/p/BlmdnS3nCRH/?hl=en,
Fortunadrago,Giorgia Tesio,13,,,Varazze,12/11/2018,,https://www.youtube.com/watch?v=XelCEKi55lA,
Delusions of Grandeur,Isabelle Faus,13,,,Chironico,04/09/2018,12,https://www.youtube.com/watch?v=mLQ1v4P2oxk,
Fragile Steps,Isabelle Faus,13,,South Africa,Rocklands,09/11/2018,11,,pre break
L'Arche,Isabelle Faus,13,,South Africa,Rocklands,01/01/2018,,,
La Cicatrice de L'Ohm,Mathilde Becerra,13,,France,Fontainebleau,10/31/2018,12/13,https://www.youtube.com/watch?v=MYFLfYHVZyA,
Catillac,Isabelle Faus,13,,United States,Clear Creek Canyon,01/01/2019,,,
Nuthin but sunshine,Marine Thevenet,13,,United States,RMNP,10/02/2019,,,
Meadowlark Lemon Stand,Brooke Raboutou,13,,United States,Red Rock,01/15/2020,,,
Santoku,Dorothea Karalus,13,,Switzerland,Ticino,03/27/2020,,,
Armstrong assis,Matilda Soderlund,13,,,Nockeby,04/25/2020,,,
Social Distorsion,Sol Sa,13,,United States,Bishop,02/04/2020,,https://www.instagram.com/p/B8KuyfMpmJ1/?hl=en,
Travesia de Balzola,Josune Bereziartu (f),13,,Spain,Baltzola,04/06/2002,13,,
